t_s,Tm_J1,P_J1,Tm_J2,P_J2,Tm_TWIST,P_TWIST,Tm_ELBOW,P_ELBOW,Tm_ROLL,P_ROLL,Tm_PITCH,P_PITCH,Tm_YAW,P_YAW,Ts_humerus_u,Ts_forearm_u,Ts_humerus_l,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb,T_torso
0.0,38.426113,10.010339186768311,33.268497,7.315602518975098,31.074951,12.47341846274519,32.137863,11.862847187870129,36.843555,11.288686887219567,41.733875,8.367084934897516,43.054333,10.565501060537176,25.1,25.5,25.65,27.5,38.855049997575,40.455049997575,23.3,30.516924774274074
2.0,38.49201380330476,10.64832275123335,33.41304988254312,7.608449986644517,31.295248747438535,12.81917401360911,32.34270313952032,11.96417232169801,37.088275183064155,11.557642723408316,41.91644761711275,8.45362565282137,43.26492854183612,10.69672503719987,25.105049997575,25.5,25.65,27.505049997575,38.905049997575,40.505049997575,23.305049997575,30.52657525899494
4.0,38.60754789877989,10.692231442061331,33.56369212884452,7.555238843430423,31.58597998285173,12.729632912031164,32.604606091781655,11.989921807208123,37.43648006907747,11.547454948502612,42.16997727385037,8.515187092669942,43.581148035336746,10.63873890157248,25.15,25.5,25.655049997575,27.55,38.955049997575,40.555049997575,23.35,30.536225743715807
6.0,38.61590606610008,10.628706832064912,33.7537442709992,7.539392591270279,31.905657589395865,12.737138271891697,32.908693843489274,11.99509659575516,37.83501119889443,11.46674164031642,42.45712920068363,8.466451424983914,43.93385635944516,10.636559759047774,25.144950002425,25.505049997575,25.7,27.55,39.0,40.6,23.35,30.545876228436672
8.0,38.757603821416865,10.640413362235185,33.95074924484204,7.593153479990358,32.25412836053452,12.732164695613566,33.227051163817414,11.968976856602156,38.24177772092514,11.531646517607122,42.75350140855425,8.659308994100867,44.297139714896254,10.658907223186777,25.1,25.55,25.694950002425,27.55,39.005049997575,40.605049997575,23.35,30.555526713157537
10.0,38.95093701931872,10.628588325627414,34.14698076618107,7.530267821271353,32.60466743924371,12.71232461467744,33.53710243385916,11.97518733894799,38.653093796487894,11.595681628805956,43.04704686784107,8.510670013295984,44.66254479434047,10.648195196171686,25.105049997575,25.544950002425,25.655049997575,27.55,39.05,40.655049997575,23.35,30.565177197878405
12.0,39.163396998036106,10.6531794992596,34.347167426838666,7.5207212357262545,32.94307122041254,12.74458973091286,33.85295261527422,12.039155253968492,39.04656033704457,11.553377471751734,43.33067720776992,8.535272658650282,45.0161396945164,10.790201135003183,25.15,25.5,25.7,27.55,39.05,40.71009999515,23.35,30.57482768259927
14.0,39.31094696501838,10.728618254274968,34.53232000241363,7.591105393739109,33.26757721383439,12.697252050133695,34.16346714566499,11.965580436865205,39.41141275335084,11.564691302968509,43.60324994614323,8.575625774764237,45.35346641268544,10.671508396377751,25.155049997575,25.5,25.694950002425,27.55,39.06009999515,40.805049997575,23.35,30.584478167320135
16.0,39.3330473257576,10.694143474140766,34.722553361945764,7.629003188589278,33.584238641881946,12.798908626779,34.46598919060614,12.00704229319866,39.771376699644655,11.71230276367164,43.8591726506412,8.53281070493306,45.680865841607414,10.687002209073592,25.2,25.5,25.65,27.544950002425,39.155049997575,40.855049997575,23.35,30.594128652041
18.0,39.57672924304104,10.628510654168974,34.898873526231,7.6229293088877,33.88485295638853,12.82729768462065,34.75024821845214,12.003889069369023,40.11175240042328,11.63670311487385,44.097469447845704,8.5197311886017,45.98222733598216,10.724399668719832,25.2,25.5,25.65,27.5,39.21009999515,40.905049997575,23.35,30.60377913676187
