t_s,Tm_ELBOW,Tm_J1,Tm_J2,Tm_PITCH,Tm_ROLL,Tm_TWIST,Tm_YAW,P_ELBOW,P_J1,P_J2,P_PITCH,P_ROLL,P_TWIST,P_YAW,Ts_humerus_u,Ts_humerus_l,Ts_forearm_u,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb
0.0,49.58943966970681,54.39431309600692,,,,49.93329050978781,,65.45702802328702,65.28005019679009,0.0,0.0,0.0,65.34932691166655,0.0,32.67902564102563,38.55975213675215,36.16444444444445,33.328589743589745,50.32873504273506,51.16066666666668,23.174940170940168
2.0,51.44082200285785,55.239278598796474,,,,51.73810683193324,,65.64620975008704,65.25984177023723,0.0,0.0,0.0,65.74203260498034,0.0,32.69957692307691,38.535794871794884,36.16379487179488,33.30965384615385,50.317974358974375,51.16153846153847,23.168435897435895
4.0,53.24129518063984,56.07200003593423,,,,53.49313441231254,,66.11989999443914,65.2923238695482,0.0,0.0,0.0,66.12636829742695,0.0,32.71843645484949,38.51328037904126,36.163442586399114,33.29143143812709,50.30778316610927,51.162354515050176,23.16259587513935
6.0,54.99085920305277,56.89247740742018,,,,55.19837325092573,,66.45030202128993,65.75126530578925,0.0,0.0,0.0,66.63086502357272,0.0,32.735604236343356,38.49220865849128,36.16338758825716,33.273922519509476,50.29816146413974,51.16311482720179,23.157420104050537
8.0,56.68951407009666,57.70071071325433,,,,56.85382334777279,,66.78811451578846,65.91877187434014,0.0,0.0,0.0,66.82175325291671,0.0,32.751080267558514,38.472579710144934,36.16362987736901,33.257127090301005,50.28910925306579,51.163819397993315,23.15290858416945
10.0,58.33725978177151,58.496699953436675,,,,58.45948470285373,,67.31561516591468,66.20924072321769,0.0,0.0,0.0,67.26685777116012,0.0,32.76486454849497,38.454393534002236,36.16416945373467,33.24104515050167,50.28062653288741,51.16446822742475,23.149061315496095
12.0,59.9340963380773,59.28044512796721,,,,60.01535731616855,,67.64246094677829,65.81327027410852,0.0,0.0,0.0,67.63474515428217,0.0,32.776957079152716,38.437650130063176,36.16500631735415,33.22567670011148,50.27271330360462,51.1650613154961,23.145878298030468
14.0,61.480023739014044,60.05194623684595,,,,61.521441187717244,,68.10515765257227,66.29766101161377,0.0,0.0,0.0,68.04166964857234,0.0,32.78735785953176,38.42234949832776,36.166140468227425,33.21102173913043,50.2653695652174,51.16559866220736,23.14335953177257
16.0,62.97504198458174,60.81120328007289,,,,62.97773631749981,,68.43291730438847,66.50594461376858,0.0,0.0,0.0,68.16260404849953,0.0,32.796066889632094,38.40849163879599,36.16757190635452,33.197080267558526,50.25859531772576,51.16608026755852,23.1415050167224
18.0,64.41915107478039,61.55821625764802,,,,64.38424270551626,,68.73801500117334,66.75031585937569,0.0,0.0,0.0,68.6404461605898,0.0,32.80308416945372,38.39607655146785,36.16930063173542,33.18385228539576,50.252390561129694,51.1665061315496,23.140314752879966
20.0,65.81235100961,62.29298516957135,,,,65.74096035176659,,68.9421903534563,66.86748244037213,0.0,0.0,0.0,69.03505530205501,0.0,32.80840969899664,38.38510423634336,36.17132664437012,33.171337792642134,50.24675529542921,51.16687625418059,23.139788740245255
22.0,67.15464178907055,63.01551001584288,,,,67.04788925625078,,69.37722197574726,67.07513126831768,0.0,0.0,0.0,69.42969252584807,0.0,32.812043478260854,38.375574693422514,36.173649944258635,33.159536789297654,50.2416895206243,51.16719063545149,23.139926978818277
24.0,68.44602341316201,63.725790796462555,,,,68.30502941896881,,69.82493290049514,66.98638827406374,0.0,0.0,0.0,69.76361791844617,0.0,32.81398550724634,38.36748792270527,36.17627053140093,33.148449275362296,50.23719323671493,51.167449275362266,23.140729468599012
26.0,69.72428005916909,64.46709915734928,,,,69.5275198858612,,70.02468884297521,67.53210454545454,0.0,0.0,0.0,69.65144958677686,0.0,32.815048309178714,38.357995169082095,36.17751690821253,33.13692753623185,50.23266183574875,51.16764251207725,23.13667149758452
