t_s,Tm_HIP_X,Tm_HIP_Y,Tm_SHIN_ANKLE,Tm_SHIN_KNEE,Tm_SPN_X,Tm_SPN_Z,Tm_TALUS,Tm_THIGH_U,P_HIP_X,P_HIP_Y,P_SHIN_ANKLE,P_SHIN_KNEE,P_SPN_X,P_SPN_Z,P_TALUS,P_THIGH_U,Ts_spine,Ts_pelvis,Ts_hip,Ts_thigh_u,Ts_thigh_l,Ts_shin,Ts_ankle,T_amb,T_torso
0.0,26.823347054475825,27.067523512488442,25.99270978808075,25.660877182035364,28.472142290089625,29.28745999235299,,26.39654654995827,58.8989755909875,47.8877104159623,58.629003297972204,47.53457823070467,24.09773688685553,24.103360343753003,0.0,58.53749701884139,25.457162393162395,23.282880341880347,22.287333333333336,21.939726495726497,21.725188034188044,21.20155555555555,23.023931623931627,21.482786324786325,21.482786324786325
2.0,27.62194527599768,27.56259291315656,26.776527288408356,26.14758235507668,28.9619873878551,29.770172002477736,,27.16981168292049,58.93419087608592,48.005531777771864,58.826668238186585,47.73952277820075,24.104675042389644,24.28429550320665,0.0,59.114918245833344,25.533564102564103,23.288141025641032,22.299269230769234,21.943102564102563,21.73375641025642,21.20935897435897,23.03567948717949,21.479205128205127,21.479205128205127
4.0,28.408528383096773,28.049924946005977,27.548844067649174,26.627281616095825,29.444993538937943,30.24633549104267,,27.932639712843365,59.27415239697946,47.83777971985534,58.82588139503152,47.49323538999728,24.056150768974867,24.25855454952432,0.0,58.780367180919285,25.613596432552956,23.293651616499446,22.31095986622074,21.946628205128206,21.742357302118183,21.216823299888514,23.047395763656635,21.475778149386844,21.475778149386844
6.0,29.183096375773104,28.529519611036694,28.3096601258032,27.09997496509281,29.921160743338156,30.715950458047793,,28.685030639726893,59.131403390469934,48.10777607268932,59.13126129572786,47.715501900524984,24.233915078037153,24.199098836118303,0.0,59.31978672547728,25.697259383128948,23.299412114455595,22.32240523968785,21.95030341880342,21.75099070977333,21.22394853214418,23.059080453363062,21.472505388331474,21.472505388331474
8.0,29.94564925402667,29.001376908248712,29.058975462870436,27.565662402067623,30.39048900105574,31.179016903493103,,29.42698446357108,59.475345058209804,48.12433009154475,59.058980651668506,47.8978119689372,24.17666993921921,24.125099360768925,0.0,59.273283305279534,25.784552954292085,23.30542251950948,22.33360535117057,21.954128205128203,21.759656633221862,21.230734671125973,23.070733556298773,21.46938684503902,21.46938684503902
10.0,30.696187017857476,29.46549683764203,29.796790078850883,28.02434392702027,30.85297831209069,31.6355348273786,,30.158501184375925,59.600151892778214,48.30916519083326,59.37500754000401,48.0486221763871,24.187943064998024,24.38068861805479,0.0,59.568936836101805,25.87547714604236,23.311682831661095,22.344560200668894,21.958102564102564,21.76835507246378,21.237181716833888,23.082355072463766,21.466422519509475,21.466422519509475
12.0,31.43470966726552,29.921879399216646,30.523103973744536,28.47601953995075,31.30862867644301,32.085504229704284,,30.879580802141422,59.871066666666664,48.3574,59.6074,48.314766666666664,24.338766666666665,24.27865,0.0,59.847233333333335,25.97003195837978,23.318193050910445,22.35526978818283,21.962226495726494,21.77708602749908,21.24328966926793,23.093945001858042,21.463612411742847,21.463612411742847
14.0,32.161217202250796,30.370524592972565,31.2379171475514,28.92068924085907,31.757440094112702,32.528925110470155,,31.59022331686758,59.93633112418697,48.40085122365387,59.88004424244607,48.16873467036473,24.306436921105714,24.420545754132018,0.0,59.76454826511815,26.068217391304344,23.324953177257527,22.36573411371237,21.966499999999996,21.78584949832777,21.249058528428094,23.1055033444816,21.460956521739128,21.460956521739128
16.0,32.87570962281332,30.811432418909785,31.941229600271477,29.358353029745217,32.19941256509976,32.96579746967622,,32.29042872855439,60.133855766492765,48.59933401583164,59.8901900455125,48.50117157190256,24.392769468667755,24.553262303759666,0.0,60.15671911411417,26.17003344481605,23.33196321070234,22.37595317725752,21.97092307692307,21.794645484949843,21.25448829431438,23.117030100334443,21.458454849498324,21.458454849498324
18.0,33.57818692895307,31.244602877028303,32.63304133190476,29.7890109066092,32.63454608940419,33.39612130732246,,32.98019703720186,60.221537127739595,48.606370894259136,60.07780226387253,48.29912137109475,24.385292193515724,24.47648151595037,0.0,60.162742539978396,26.275480118914896,23.339223151244887,22.38592697881828,21.975495726495723,21.8034739873653,21.259578966926792,23.128525269416567,21.456107395020435,21.456107395020435
