timestamp_utc,actuator_name,power_W,Tmotor_degC,Tambient_degC,Tbatt_min_degC,Tbatt_max_degC
2026-05-17 00:00:00,left_elbow,0.0019,48.2,null,null,null
2026-05-17 00:00:00,left_shoulder_j1,0.005,50.6,null,null,null
2026-05-17 00:00:00,left_shoulder_j2,0.0017,51.46,null,null,null
2026-05-17 00:00:00,left_upper_arm_twist,0.0019,46.51,null,null,null
2026-05-17 00:00:00,left_wrist_pitch,7.0E-4,58.43,null,null,null
2026-05-17 00:00:00,left_wrist_roll,7.0E-4,52.55,null,null,null
2026-05-17 00:00:00,left_wrist_yaw,7.0E-4,61.15,null,null,null
2026-05-17 00:00:04,left_elbow,0.0019,48.2,null,null,null
2026-05-17 00:00:04,left_shoulder_j1,0.0046,50.59,null,null,null
2026-05-17 00:00:04,left_shoulder_j2,0.0015,51.46,null,null,null
2026-05-17 00:00:04,left_upper_arm_twist,0.0019,46.51,null,null,null
2026-05-17 00:00:04,left_wrist_pitch,7.0E-4,58.42,null,null,null
2026-05-17 00:00:04,left_wrist_roll,7.0E-4,52.55,null,null,null
2026-05-17 00:00:04,left_wrist_yaw,7.0E-4,61.14,null,null,null
2026-05-17 00:00:08,left_elbow,0.0019,48.2,28.24,37.51,40.77
2026-05-17 00:00:08,left_shoulder_j1,0.005,50.59,28.24,37.51,40.77
2026-05-17 00:00:08,left_shoulder_j2,0.0018,51.46,28.24,37.51,40.77
2026-05-17 00:00:08,left_upper_arm_twist,0.0019,46.51,28.24,37.51,40.77
2026-05-17 00:00:08,left_wrist_pitch,7.0E-4,58.42,28.24,37.51,40.77
2026-05-17 00:00:08,left_wrist_roll,7.0E-4,52.54,28.24,37.51,40.77
2026-05-17 00:00:08,left_wrist_yaw,7.0E-4,61.14,28.24,37.51,40.77
2026-05-17 00:00:12,left_elbow,0.0019,48.2,null,null,null
2026-05-17 00:00:12,left_shoulder_j1,0.0048,50.58,null,null,null
2026-05-17 00:00:12,left_shoulder_j2,0.0019,51.47,null,null,null
2026-05-17 00:00:12,left_upper_arm_twist,0.0019,46.51,null,null,null
2026-05-17 00:00:12,left_wrist_pitch,7.0E-4,58.42,null,null,null
2026-05-17 00:00:12,left_wrist_roll,7.0E-4,52.54,null,null,null
2026-05-17 00:00:12,left_wrist_yaw,7.0E-4,61.13,null,null,null
2026-05-17 00:00:16,left_elbow,0.0019,48.2,null,null,null
2026-05-17 00:00:16,left_shoulder_j1,0.0049,50.58,null,null,null
2026-05-17 00:00:16,left_shoulder_j2,0.0016,51.46,null,null,null
2026-05-17 00:00:16,left_upper_arm_twist,0.0019,46.51,null,null,null
2026-05-17 00:00:16,left_wrist_pitch,7.0E-4,58.42,null,null,null
2026-05-17 00:00:16,left_wrist_roll,7.0E-4,52.54,null,null,null
2026-05-17 00:00:16,left_wrist_yaw,7.0E-4,61.13,null,null,null
2026-05-17 00:00:20,left_elbow,0.0019,48.2,null,null,null
2026-05-17 00:00:20,left_shoulder_j1,0.0046,50.57,null,null,null
